squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
89671,71,0,0,15,19554,6,5,1994,0,0,9289,2312,583,0,0,8967749.4
26872,88,1,0,24,11539,5,2,2001,1,1,511,3737,718,1,9,2692017.1
69399,77,0,0,1,23261,2,6,2003,0,0,9456,8699,604,0,8,6940277.3
78934,44,0,0,22,57594,4,3,1996,0,0,6556,7690,870,0,3,7895339.6
51585,70,0,1,8,89259,8,7,2010,0,1,268,1459,831,1,4,5163838.0
88231,33,1,0,31,51971,9,8,2009,0,1,4448,5611,704,1,1,8827270.9
17434,74,1,1,24,2036,8,10,1993,0,0,4196,6453,618,1,3,1751426.3
25136,98,1,1,35,42440,2,7,2011,0,0,9715,4429,745,1,1,2520958.1
16187,17,1,1,10,78230,9,2,2008,0,0,7265,2708,656,1,1,1625626.8
52282,78,0,0,96,78459,5,5,1994,0,1,4054,4806,186,1,1,5233745.4
3818,4,0,0,32,45234,9,1,2011,1,1,6682,7735,546,1,3,383235.1
3121,46,1,0,85,66893,9,1,2017,0,1,546,5839,784,0,10,322767.7
12492,46,1,1,58,26974,2,1,1997,1,0,7229,4684,106,1,3,1264869.7
68399,39,1,1,46,2438,10,4,2011,0,0,7646,5209,881,0,1,6851767.1
43418,87,1,1,64,25081,2,8,2010,0,1,6989,9545,736,1,3,4349322.0
24971,65,0,0,85,30857,5,7,1994,0,1,306,4881,527,1,5,2501574.4
23609,14,0,0,68,24913,7,8,2017,1,1,6808,1942,468,0,3,2364571.7
86806,78,0,0,96,98660,6,9,2001,1,1,8692,1807,515,0,0,8683516.1
57300,54,0,0,34,89847,7,10,2002,1,1,3016,1271,619,0,6,5732956.2
75271,69,0,1,74,33145,3,2,2002,0,0,8171,4145,125,0,0,7537873.2
60216,14,1,1,97,84535,9,4,2012,0,0,2305,3001,663,1,10,6031741.2
92582,13,1,0,65,62542,8,8,2002,1,1,729,907,558,0,8,9268566.2
79959,74,1,1,3,50010,8,3,1994,1,0,2523,7995,528,1,10,8000900.4
43691,19,1,1,39,96161,4,1,1993,1,0,834,9044,222,0,2,4375504.3
9171,18,0,0,9,75210,2,2,1996,0,1,3760,1522,429,0,10,917869.6
2005,45,0,1,67,48091,9,1,1997,1,1,8149,7896,600,1,5,207531.7
43944,40,1,0,69,5581,10,5,2012,0,1,7466,6556,735,1,6,4403326.2
2095,88,1,0,27,79779,6,10,1991,0,1,633,1163,851,0,6,213708.1
60250,79,1,0,16,37239,4,1,2019,1,1,8429,899,149,1,2,6031090.9
3951,21,1,1,66,51179,3,5,2002,0,0,3990,9377,287,1,4,407002.2
99819,37,1,0,21,20773,8,2,1992,1,0,6344,3409,213,0,8,9986201.2
90643,77,1,0,55,46178,5,7,2012,0,0,4659,149,780,0,1,9074993.2
83460,34,0,0,69,23734,4,5,2017,0,1,3231,1741,841,1,10,8347291.7
28495,61,1,1,89,65868,9,10,2013,1,0,9180,9567,298,0,8,2860568.3
42781,53,1,0,13,19280,10,4,2005,0,0,9090,669,268,1,10,4280444.5
63380,30,1,0,53,97769,3,7,1994,0,0,495,5633,687,0,2,6341950.4
54473,9,1,0,40,58236,1,3,2015,1,0,4560,8125,835,0,4,5452279.5
25765,67,1,1,34,1231,2,7,2015,1,1,6281,571,882,1,3,2585769.5
52151,56,1,1,1,44813,1,8,2011,1,0,4450,9406,405,1,10,5221936.1
52259,16,0,1,72,23742,9,6,2003,1,0,1558,5398,734,1,4,5236500.3
59413,43,0,0,6,31513,7,4,1990,0,1,4602,4427,520,1,0,5942121.0
52687,35,1,0,43,96309,2,4,2004,1,0,4554,5386,409,1,8,5271994.4
2978,3,1,1,29,46118,3,7,2011,1,1,1578,6660,105,0,5,307536.1
85503,42,0,1,20,44949,2,8,1997,0,1,5317,33,488,1,3,8553712.7
2536,88,1,0,25,76785,10,5,2018,0,0,264,4785,669,1,0,258795.8
91569,74,1,1,40,59784,1,10,1996,0,1,6609,2097,514,1,2,9166813.6
62601,99,0,0,53,42434,1,10,1990,1,1,6428,3544,893,0,6,6263982.0
16361,4,1,1,93,98566,2,10,1993,0,0,9867,6202,554,0,7,1647116.3
36239,59,1,1,78,83657,8,2,2000,1,0,6543,1947,968,0,1,3634312.0
11593,40,1,0,57,95939,7,9,1997,0,0,490,5032,195,0,8,1166355.7
52610,2,0,1,69,63116,5,2,2009,0,1,7247,592,478,1,3,5270005.9
93670,99,1,0,4,22067,4,10,2000,0,1,9084,340,898,0,5,9372029.0
36311,71,1,1,33,45046,7,3,2005,0,0,4167,6519,476,1,7,3638456.5
24393,46,1,1,16,18507,4,8,2019,0,0,4080,4764,619,1,2,2449464.9
73808,6,1,1,14,91163,5,8,2002,0,1,513,9712,960,0,6,7388725.2
34608,71,1,0,52,18621,5,10,1992,1,1,8695,820,902,0,1,3468236.2
55660,9,1,1,26,84510,1,5,2021,1,1,5395,5590,335,0,1,5576601.1
35145,44,0,0,8,17127,3,2,2008,1,0,6162,4839,506,0,7,3515730.8
8732,69,0,1,40,28331,2,7,1991,0,0,1102,8896,535,1,5,876520.1
65582,39,0,1,98,2219,7,2,2003,1,0,2051,5857,613,1,10,6563957.3
39899,65,0,0,41,19460,5,3,2006,0,0,1746,2846,418,1,1,3993466.6
41669,18,1,1,34,917,4,5,2005,1,0,3252,6702,484,0,6,4176148.5
46572,89,0,0,18,40052,4,4,1993,1,1,6035,7454,704,1,9,4658899.3
17505,36,1,1,37,16727,8,4,1993,0,0,8333,2048,573,0,0,1762789.3
97843,40,0,0,76,73758,2,6,2012,1,0,2334,2845,780,0,0,9790045.2
58801,69,1,1,100,6506,7,3,2016,1,1,3810,378,136,0,1,5891738.6
50576,44,0,1,11,10612,1,1,2018,0,1,3881,8014,129,0,1,5059529.8
25432,58,1,0,46,43170,4,7,2011,1,0,9273,3243,426,1,7,2550518.1
58847,40,0,0,51,83007,4,10,2015,1,1,7150,1562,916,0,0,5886368.5
85576,83,0,0,21,77949,3,2,1998,1,0,5884,3567,507,1,8,8558422.8
83945,19,0,0,86,85985,6,2,1994,1,1,6350,6067,266,0,2,8400215.4
96177,51,0,0,73,80137,10,4,1997,1,1,4294,8149,816,1,3,9620405.7
64269,77,0,0,26,33938,2,2,2000,0,0,5225,47,606,1,9,6428786.0
27521,39,0,0,81,92041,10,9,2002,0,1,7048,8729,492,0,1,2754134.2
99104,77,1,1,64,17030,8,2,2001,1,1,8965,8063,327,1,5,9922700.1
1270,53,0,0,66,78847,7,8,1991,1,1,6093,4476,618,0,6,131117.1
93190,51,0,0,44,67570,5,5,1998,1,0,4817,7651,998,0,7,9322069.8
25066,8,1,0,85,51042,8,1,1993,0,1,211,579,649,0,3,2516535.3
52649,88,0,1,85,89698,2,7,1996,0,1,4763,2082,833,0,6,5274558.6
34826,55,1,0,2,95710,9,2,2011,1,0,6494,3875,129,0,1,3488059.1
82141,93,1,1,61,74213,3,7,2019,1,1,8785,6602,968,1,4,8225970.9
56812,100,0,0,46,46298,4,4,2013,1,1,2325,7614,190,0,5,5683565.3
11124,67,1,1,75,2222,1,4,2015,1,0,1342,8771,621,0,7,1125532.5
8282,84,0,1,57,37138,5,6,1991,0,0,8604,6303,568,0,9,836291.1
51579,37,0,1,6,36822,3,8,2019,0,0,1328,5510,636,0,4,5161447.9
77791,94,1,0,67,54273,5,5,2009,1,0,2582,2734,854,1,3,7786745.9
75556,53,0,1,38,58206,2,5,1999,1,0,7875,5529,964,1,6,7560024.9
64027,94,0,1,34,30165,5,8,2021,0,0,4663,7557,860,1,9,6408770.1
58864,11,0,1,1,63178,8,3,2014,1,0,7302,9803,105,0,9,5891413.4
91287,45,1,1,39,54909,6,8,2020,0,0,2840,2544,300,0,0,9138828.0
38522,4,1,0,63,27106,10,2,1990,0,0,6735,1244,783,0,6,3858534.0
16205,88,0,0,11,98132,8,2,2013,1,1,9455,8208,986,1,8,1621809.3
74166,35,1,1,16,55843,7,2,1990,0,0,6208,6948,116,1,9,7423668.0
31471,3,0,0,34,90619,5,3,2020,0,1,6093,5977,687,1,5,3149214.0
83780,56,1,0,6,13031,3,10,2020,1,1,4012,4622,656,1,1,8382464.0
28076,4,1,1,86,90966,3,1,2014,0,1,6596,8735,110,0,4,2819687.4
24497,27,1,1,23,78655,8,4,2013,1,1,6184,2322,536,0,1,2459173.3
75801,70,1,1,99,60503,2,9,1992,0,0,6654,3830,151,0,8,7590022.2
80827,51,0,0,82,44211,1,9,1996,0,0,3040,2627,155,0,6,8083933.6
27725,29,0,0,58,13202,6,5,1993,1,0,6740,5829,484,1,5,2774997.3
35488,2,1,0,79,34602,2,7,2018,0,1,6111,7756,867,0,4,3559112.8
37853,97,0,1,54,90059,5,6,2019,0,1,1210,346,332,1,0,3792902.9
6036,86,1,0,46,73311,4,2,2015,0,0,5060,1128,780,0,5,610661.5
54631,69,1,1,43,1911,3,6,2006,0,1,3289,4305,686,0,1,5471295.6
5178,17,0,1,100,19451,4,4,1990,0,0,7260,1845,266,1,4,527165.0
98934,70,0,1,95,75485,5,3,1993,1,1,9407,6596,138,0,10,9902124.3
15009,100,1,0,9,9262,9,7,1999,1,0,2164,4632,950,1,5,1506018.9
79499,39,1,1,79,2267,3,7,2013,1,0,5217,2016,198,0,4,7955951.3
92618,66,1,1,88,94266,9,2,2020,1,0,6347,6920,668,0,5,9267692.0
98714,6,1,0,10,94009,6,4,2020,0,0,3504,2489,764,0,7,9876308.0
42900,38,1,1,80,89907,2,10,2016,1,0,473,6650,319,0,5,4301422.6
50152,39,1,0,70,1849,10,7,2015,0,1,7389,968,413,0,2,5018454.5
81147,38,0,1,80,36778,6,3,2006,1,0,823,1721,928,1,9,8119401.6
12629,13,1,0,40,30300,6,1,2008,0,0,8921,9935,859,0,5,1267009.8
8214,19,1,1,1,95940,10,10,1995,0,1,7508,4856,779,0,3,828785.5
39595,81,1,1,96,19398,5,6,1993,0,0,9804,2336,762,1,8,3974677.3
71012,61,0,0,77,56090,8,3,2004,1,0,4665,5220,434,0,6,7108699.4
15726,33,0,1,40,54213,9,4,2013,0,1,359,9031,867,0,5,1580718.3
17847,99,1,0,93,4081,1,7,2011,1,0,2023,7689,929,1,0,1796189.1
65118,46,1,1,34,83042,4,1,2001,0,1,6403,7699,414,1,5,6521916.1
56223,1,1,0,73,85113,10,4,1993,1,0,4302,1928,115,0,1,5634379.3
1331,73,0,0,94,38921,2,3,1996,1,1,5208,6983,591,1,10,135115.6
53812,56,0,1,61,13050,2,10,1999,1,1,4090,1986,976,0,8,5390255.9
78977,96,0,1,58,80424,4,2,2004,1,1,9457,2583,116,0,3,7906006.4
65830,45,1,0,4,95917,5,6,2017,0,1,2759,7589,205,0,1,6587835.7
91973,88,0,0,14,69385,6,10,2021,0,1,6767,4760,621,1,3,9198800.1
55575,65,0,1,64,58248,8,7,2001,0,1,6170,3102,244,0,6,5563122.1
39040,42,0,0,50,50833,3,8,2009,1,1,9320,5752,936,0,3,3905700.9
98946,31,0,1,18,15556,10,3,1997,0,1,792,775,663,0,3,9901008.7
39664,87,1,0,75,77062,1,3,1997,1,0,1277,5209,267,0,9,3973483.7
50989,97,0,1,61,45538,8,7,2012,0,0,9441,8189,326,1,5,5105808.2
27729,65,0,1,38,46862,1,5,1990,1,1,114,5510,968,1,8,2778832.0
29752,86,0,1,25,43195,6,9,1990,1,1,3953,753,107,0,7,2982668.0
59834,90,1,1,50,64277,10,6,2018,0,1,4468,7729,925,0,5,5992116.8
475,23,1,0,18,30052,10,6,2009,0,0,9593,2913,189,0,2,51031.9
16252,30,1,0,58,76233,8,7,1998,1,1,6786,6868,748,1,5,1630793.8
13005,81,1,0,9,23259,10,7,2020,1,1,7738,4663,368,1,4,1304605.0
23262,71,0,0,64,87309,9,8,2018,0,0,8475,2396,640,1,9,2328515.8
148,91,0,0,11,27008,6,9,1992,1,1,6618,7045,939,1,10,16799.2
9632,83,1,1,14,7737,8,4,2015,1,0,8873,973,812,1,3,975297.5
67510,32,1,1,61,22236,1,7,2014,0,1,6018,7718,643,0,9,6758961.4
65155,69,1,0,46,26367,1,4,1994,0,1,4546,1801,654,0,3,6521547.4
153,71,0,1,88,99905,3,1,2002,0,1,7704,7896,468,1,8,22499.2
66744,40,1,0,44,83019,4,5,2011,1,1,8949,6510,851,1,10,6681155.1
36559,78,0,0,47,38377,5,9,2007,0,0,3961,4825,325,0,3,3658559.7
78958,30,0,0,82,2322,3,2,1994,1,1,3862,9881,810,1,5,7902699.4
78960,55,0,1,76,23408,8,4,2015,1,1,7126,5012,974,1,0,7900996.5
32130,63,0,1,55,20424,1,1,2004,1,1,2001,2817,944,0,9,3217288.4
50589,75,0,0,52,82206,10,3,2008,1,1,3824,8806,185,0,9,5061508.8
7628,66,1,1,100,93220,5,7,2011,0,1,4194,717,755,1,8,771290.1
98661,77,0,1,31,51050,10,3,2016,1,0,5662,6316,878,1,5,9870323.6
38525,87,1,1,18,585,3,3,2018,0,1,161,3448,599,1,6,3861258.8
75901,87,0,1,1,66328,10,7,1998,1,0,9385,4421,281,0,2,7594895.8
75354,2,0,1,61,29515,3,2,2019,0,1,6062,8157,495,0,8,7546076.9
36580,72,1,0,53,22484,2,6,1998,0,1,5577,4051,727,0,1,3664202.8
91207,63,1,0,26,32233,8,7,2004,0,1,8088,467,976,0,10,9126333.4
6807,53,0,1,19,96312,3,3,2008,1,0,2693,8767,503,0,0,687517.8
83710,14,0,1,3,73055,4,8,2000,1,0,6533,1034,976,1,9,8374730.0
831,46,0,0,86,14570,7,3,2015,1,0,5943,1113,723,1,4,91333.5
76014,51,1,0,98,69427,10,3,1995,0,0,8372,2728,809,1,5,7606246.5
43251,88,0,0,43,60814,3,10,2001,0,0,2001,4900,791,0,3,4326826.1
79464,97,0,1,40,92968,2,10,2003,1,0,2747,9431,723,1,0,7952013.3
81936,68,0,0,92,6143,3,1,2011,1,0,6393,9082,734,0,0,8198107.1
35828,77,0,0,3,85172,5,6,1998,0,0,795,4716,811,1,1,3583375.8
81600,46,1,0,16,36380,6,2,2008,1,0,1841,591,427,1,2,8163638.8
39445,100,0,0,66,31733,10,5,1990,1,1,1391,4942,992,0,10,3947777.0
45803,17,0,1,21,3710,6,7,1997,0,0,1749,9521,444,0,2,4583642.7
18041,90,1,0,99,90750,6,8,2006,1,0,1064,653,221,1,3,1817658.6
28706,84,0,1,70,75019,5,10,2006,0,0,3183,1586,383,0,4,2875896.6
26229,35,1,1,100,36669,4,6,2003,1,1,3372,255,274,1,7,2634608.3
38935,41,1,0,98,77785,8,5,2014,1,0,3246,5869,220,0,7,3900522.4
77703,22,0,1,18,64051,4,4,2021,1,1,4762,8678,172,1,8,7776678.1
80062,78,0,0,90,64253,4,4,2011,0,0,1797,5974,862,0,4,8007951.1
60187,59,0,1,23,33304,10,6,1999,1,1,7472,4565,353,1,0,6023643.9
16704,49,1,1,8,60511,2,7,1994,0,0,7325,1013,929,1,10,1676124.4
50595,75,0,0,94,96035,4,8,1996,1,1,8596,1253,596,1,9,5067161.6
38500,35,1,0,76,56809,8,2,1994,0,1,9151,3339,723,0,7,3859493.4
90679,5,0,0,97,18800,9,9,2019,0,1,9439,1281,331,1,0,9072340.9
45747,84,0,0,40,7233,10,4,1992,0,1,7612,4305,535,1,9,4579479.2
86990,100,0,0,37,60764,5,1,2011,1,0,9084,1302,518,1,6,8702130.1
41786,92,1,0,69,3452,6,9,2003,0,0,2708,7909,407,0,3,4188833.3
7033,2,0,1,37,71260,9,10,2001,0,1,5051,6478,534,1,10,708252.1
91204,91,1,1,10,59198,7,2,1990,0,1,1974,1536,994,1,2,9127495.0
52915,63,1,0,97,85596,3,9,1996,1,0,544,9576,480,0,8,5302289.6
96562,20,1,0,99,56610,5,7,2009,1,1,696,2185,310,0,7,9662306.9
26592,72,0,1,49,43397,8,9,1992,1,0,6614,1414,752,1,10,2667272.2
26770,8,1,1,69,79970,10,8,2016,1,0,6924,6367,940,1,2,2687139.6
58394,19,1,0,56,19251,6,3,2001,0,0,3215,9841,239,0,8,5848843.1
35652,48,0,0,33,75797,9,3,1996,1,0,9009,181,716,0,4,3569151.6
53591,91,1,0,66,13020,2,7,2008,0,1,3909,1399,804,1,7,5365278.8
38336,57,1,1,38,39402,1,5,1996,1,1,855,4994,863,1,4,3843621.6
87554,16,1,1,77,30135,7,7,2010,1,0,8714,8017,636,1,8,8769996.0
18684,79,1,0,42,12905,8,7,1990,0,0,501,6964,897,0,6,1877347.0
87603,70,1,1,62,93659,9,8,2020,0,0,9232,6968,755,0,10,8768975.0
78546,92,0,1,84,52906,10,6,1991,0,1,978,3244,530,1,4,7864949.1
13612,57,1,0,29,9468,5,1,2009,0,1,2371,9910,955,1,8,1367128.9
99665,16,1,1,52,17077,1,9,1990,1,1,136,5779,392,1,9,9976093.0
18653,21,1,1,40,43885,10,4,2020,0,0,4746,4175,319,1,9,1871959.0
64492,84,1,1,31,5498,1,3,2014,1,0,5273,3971,324,1,1,6459748.4
63519,91,1,1,31,62197,6,2,2006,0,1,1001,5368,938,1,10,6358243.6
30991,9,1,0,11,76459,7,8,2005,1,0,7815,305,161,0,6,3104594.5
39385,6,0,0,27,1529,8,1,2002,1,1,5014,1638,362,0,1,3941795.2
31536,69,1,0,4,28290,1,7,1996,0,0,8825,6894,329,0,3,3156707.6
81498,95,1,1,28,73772,6,10,2007,1,1,8658,3078,787,1,1,8158900.7
527,91,1,1,74,25354,4,2,2002,0,0,3855,961,178,0,6,67622.2
13254,91,1,0,58,98839,2,1,2014,0,0,1937,8763,506,1,9,1333885.4
26061,95,0,0,27,18445,1,3,1993,0,0,4049,6484,848,1,9,2608428.3
90110,64,1,0,52,81395,3,5,1998,1,0,8600,8061,384,0,0,9019491.8
1386,42,0,1,4,75628,10,1,1992,0,1,6022,9126,692,1,7,143843.2
10606,76,0,1,16,22784,8,9,1996,0,1,6543,1133,957,1,0,1064850.6
87045,61,1,0,19,72983,10,10,1992,0,0,7325,4603,237,0,4,8709780.2
61534,73,1,0,97,22943,9,5,2001,0,0,9265,8974,755,1,6,6159875.1
51477,14,1,1,26,42991,5,9,2021,0,1,480,5076,271,1,4,5152795.1
11006,48,1,1,87,26688,1,2,2015,1,1,8194,4306,378,0,7,1107901.5
13117,70,0,1,84,20122,3,6,1992,0,1,9117,5959,140,0,9,1320033.2
21597,33,1,0,3,99478,9,4,2018,0,1,7739,8227,583,0,8,2165316.8
51616,52,0,1,20,17593,10,8,2015,1,0,9285,2546,310,1,8,5164531.5
19728,97,1,0,85,49642,2,8,2018,0,1,4778,5706,289,1,2,1977828.8
43026,31,0,1,53,4035,7,7,1992,1,0,5946,9371,204,0,10,4305570.2
7228,22,1,1,86,46443,5,2,1992,1,1,7826,1972,695,1,2,737118.2
72381,93,0,1,20,32337,6,3,2010,0,0,2130,7783,256,0,8,7242040.0
22802,89,0,0,47,83332,5,4,2021,0,0,5319,3329,222,1,8,2282203.1
29396,37,1,1,3,1673,7,4,2015,1,0,6762,7361,687,1,5,2947040.5
79652,93,0,1,64,80098,5,1,2008,0,1,4996,7204,261,0,3,7972747.8
13494,3,1,0,88,83994,10,9,1991,0,0,927,702,879,1,4,1355903.1
52568,5,1,1,82,79444,6,2,2007,1,0,4409,5855,621,0,6,5267684.7
87587,80,0,0,59,88746,5,7,2011,0,0,4857,2220,713,1,7,8761570.1
74780,86,0,0,3,84310,5,2,2005,1,1,3421,1338,276,0,1,7479141.5
89455,50,1,1,32,56727,6,9,2009,0,0,6279,7260,601,0,4,8954183.9
44008,40,0,0,10,38622,8,7,1992,0,0,894,4609,817,1,2,4402299.2
97406,47,1,1,72,48318,10,10,2009,1,1,1911,6330,146,0,3,9750051.9
13386,51,0,0,90,87978,4,6,1993,0,0,2885,1149,904,1,4,1342509.3
23450,83,1,0,83,55904,5,2,2013,1,1,1633,6229,727,1,6,2351048.3
49856,95,1,1,25,77135,9,7,1997,1,1,7182,8670,125,0,6,4992838.7
46291,97,0,1,33,74303,6,6,2018,0,0,5437,9142,854,0,9,4633898.8
25972,7,1,1,98,81846,10,8,1996,1,0,5998,3426,815,1,4,2605855.6
94556,53,1,1,17,60195,2,7,2010,1,0,7571,3766,782,1,0,9461299.0
42272,8,1,0,15,22439,10,4,2017,1,0,6622,3306,733,0,5,4232650.7
27831,92,1,0,72,72385,5,10,1999,1,0,720,1413,677,0,7,2788302.9
8941,4,0,0,94,7455,8,5,2012,0,0,7273,4065,987,0,1,902785.2
61752,62,0,1,57,42393,4,2,2018,0,0,2373,7131,393,0,5,6181908.8
27565,79,1,0,3,57364,8,9,1999,0,1,5802,4636,634,1,3,2760622.9
24280,29,0,1,17,48036,1,9,1998,1,0,697,3500,550,0,2,2433903.8
20258,100,0,1,60,65857,10,9,2011,0,0,5859,8924,922,0,4,2033594.1
60817,59,1,0,76,42098,5,6,2001,0,1,6949,8610,142,0,9,6086395.1
41856,40,1,1,43,55942,1,5,2006,1,1,8432,2811,324,1,6,4191936.6
46709,69,0,0,86,8410,6,9,1996,0,1,3928,7379,925,1,3,4680113.6
76219,79,0,0,26,26323,3,10,2002,0,0,873,3234,209,1,0,7623030.2
65417,66,0,0,82,52099,4,9,1994,0,0,5200,4265,891,0,5,6550299.4
76373,33,0,1,32,69322,10,8,1995,0,1,4171,6097,182,1,6,7641233.5
19801,9,0,1,63,14539,4,7,2009,1,1,9716,4524,665,1,8,1986493.9
4840,9,1,1,70,26167,1,7,1992,0,1,9078,5734,739,1,6,497373.2
46463,56,1,0,79,36162,5,6,2009,1,1,3911,7132,553,1,6,4653602.9
59396,24,1,1,31,92493,1,8,2021,1,1,9208,406,970,1,5,5950249.1
33612,29,0,0,22,80147,6,1,1995,1,1,5058,4116,182,0,7,3364167.5
15561,18,0,1,68,1594,5,8,2008,1,1,190,7459,423,1,10,1559588.8
96237,80,1,1,32,1798,5,4,2015,1,0,3692,3433,181,1,10,9631795.5
15928,29,1,1,81,37194,5,2,2017,0,0,9165,6615,195,1,10,1603995.7
67844,45,0,1,51,74107,10,9,1997,0,1,5715,727,961,0,5,6790489.7
2473,57,0,1,62,93096,7,9,1999,1,0,7789,6915,236,0,3,252875.9
10601,59,0,1,7,98223,1,7,2021,0,0,6574,836,892,1,0,1062664.1
41043,1,0,0,78,35311,1,10,1993,1,0,5723,8928,603,1,4,4105841.3
92335,96,0,1,11,52973,1,2,1999,1,0,8282,4738,283,0,8,9237950.9
36475,64,0,1,53,65241,3,7,2010,0,1,8979,3503,393,0,6,3653259.0
8976,38,0,0,48,66937,8,4,2007,0,1,1776,134,241,1,0,898880.7
74704,31,0,0,22,93675,1,9,1992,1,0,7463,8866,347,0,9,7472587.2
